id,name,site,date
11,World Championship 12th,Havana CUB,1921.03.15
5,World Championship 5th,USA/CAN,1894.03.15
8,World Championship 9th,Paris FRA,1909.10.19
14,World Championship 15th,GER,1934.04.01
21,World Championship 22th,Moscow RUS,1958.03.04
28,World Championship 29th,Baguio City PHI,1978.07.??
2,World Championship 2nd,Havana CUB,1889.01.20
13,World Championship 14th,GER/NLD,1929.09.06
27,World Championship 28th,Reykjavik ISL,1972.07.11
15,World Championship 16th,NLD,1935.10.03
19,World Championship 20th,Moscow RUS,1954.03.16
17,World Championship 18th,NLD/URS,1948.03.02
1,World Championship 1st,USA,1886.01.11
18,World Championship 19th,Moscow RUS,1951.03.16
6,World Championship 7th,USA,1907.01.26
24,World Championship 25th,Moscow RUS,1963.03.23
10,World Championship 10th,GER/AUT,1910.01.07
4,World Championship 4th,Havana CUB,1892.01.01
25,World Championship 26th,Moscow RUS,1966.04.11
23,World Championship 24th,Moscow RUS,1961.03.15
9,World Championship 11th,Berlin GER,1910.11.08
26,World Championship 27th,Moscow RUS,1969.04.14
29,World Championship 30th,Meran ITA,1981.10.??
12,World Championship 13th,Buenos Aires ARG,1927.09.16
7,World Championship 8th,GER,1908.08.17
3,World Championship 3rd,"New York, NY USA",1890.12.09
22,World Championship 23th,Moscow RUS,1960.??.??
30,World Championship 31th,Moscow RUS,1984.09.10
16,World Championship 17th,NLD,1937.10.05
20,World Championship 21th,Moscow RUS,1957.03.05
